tag,tier,variant,description,anomaly_type,start_idx,end_idx,severity,affected_channels
clim_sensor_drift,easy,1,Slow polynomial drift (sensor aging / fouling),clim_sensor_drift,19073,22222,low,['T_degC']
clim_sensor_drift,easy,2,Slow polynomial drift (sensor aging / fouling),clim_sensor_drift,12320,15469,low,['rh_pct']
clim_sensor_drift,medium,1,Slow polynomial drift (sensor aging / fouling),clim_sensor_drift,10321,20294,medium,['max_wv_ms']
clim_sensor_drift,medium,2,Slow polynomial drift (sensor aging / fouling),clim_sensor_drift,11469,21442,medium,['rh_pct']
clim_sensor_drift,hard,1,Slow polynomial drift (sensor aging / fouling),clim_sensor_drift,5811,22083,high,['T_degC']
clim_sensor_drift,hard,2,Slow polynomial drift (sensor aging / fouling),clim_sensor_drift,9082,25354,high,['wv_ms']
clim_stuck_sensor,easy,1,Channel frozen at pre-fault value (sensor failure),clim_stuck_sensor,18111,21260,low,['wv_ms']
clim_stuck_sensor,easy,2,Channel frozen at pre-fault value (sensor failure),clim_stuck_sensor,13283,16432,low,['max_wv_ms']
clim_stuck_sensor,medium,1,Channel frozen at pre-fault value (sensor failure),clim_stuck_sensor,3674,13647,medium,['wv_ms']
clim_stuck_sensor,medium,2,Channel frozen at pre-fault value (sensor failure),clim_stuck_sensor,15486,25459,medium,['T_degC']
clim_stuck_sensor,hard,1,Channel frozen at pre-fault value (sensor failure),clim_stuck_sensor,4663,20935,high,['rh_pct']
clim_stuck_sensor,hard,2,Channel frozen at pre-fault value (sensor failure),clim_stuck_sensor,7236,23508,high,['rho_gm3']
clim_spike_burst,easy,1,Burst of amplitude spikes (electrical interference),clim_spike_burst,9585,12734,low,['rho_gm3']
clim_spike_burst,easy,2,Burst of amplitude spikes (electrical interference),clim_spike_burst,16120,19269,low,['rh_pct']
clim_spike_burst,medium,1,Burst of amplitude spikes (electrical interference),clim_spike_burst,8923,18896,medium,['rho_gm3']
clim_spike_burst,medium,2,Burst of amplitude spikes (electrical interference),clim_spike_burst,3436,13409,medium,['rho_gm3']
clim_spike_burst,hard,1,Burst of amplitude spikes (electrical interference),clim_spike_burst,9142,25414,high,['T_degC']
clim_spike_burst,hard,2,Burst of amplitude spikes (electrical interference),clim_spike_burst,8717,24989,high,['rh_pct']
clim_dropout_zero,easy,1,Channel drops to zero (power loss to sensor),clim_dropout_zero,8023,11172,low,['T_degC']
clim_dropout_zero,easy,2,Channel drops to zero (power loss to sensor),clim_dropout_zero,7208,10357,low,['rh_pct']
clim_dropout_zero,medium,1,Channel drops to zero (power loss to sensor),clim_dropout_zero,5740,15713,medium,['max_wv_ms']
clim_dropout_zero,medium,2,Channel drops to zero (power loss to sensor),clim_dropout_zero,7088,17061,medium,['wv_ms']
clim_dropout_zero,hard,1,Channel drops to zero (power loss to sensor),clim_dropout_zero,9386,25658,high,['rh_pct']
clim_dropout_zero,hard,2,Channel drops to zero (power loss to sensor),clim_dropout_zero,5669,21941,high,['wv_ms']
clim_scale_error,easy,1,Multiplicative calibration shift (recalibration error),clim_scale_error,21137,24286,low,['rho_gm3']
clim_scale_error,easy,2,Multiplicative calibration shift (recalibration error),clim_scale_error,11539,14688,low,['max_wv_ms']
clim_scale_error,medium,1,Multiplicative calibration shift (recalibration error),clim_scale_error,7208,17181,medium,['p_mbar']
clim_scale_error,medium,2,Multiplicative calibration shift (recalibration error),clim_scale_error,15663,25636,medium,['wv_ms']
clim_scale_error,hard,1,Multiplicative calibration shift (recalibration error),clim_scale_error,8045,24317,high,['T_degC']
clim_scale_error,hard,2,Multiplicative calibration shift (recalibration error),clim_scale_error,3552,19824,high,['rho_gm3']
clim_sign_flip,easy,1,Channel sign inversion (wiring reversal),clim_sign_flip,23026,26175,low,['max_wv_ms']
clim_sign_flip,easy,2,Channel sign inversion (wiring reversal),clim_sign_flip,18394,21543,low,['max_wv_ms']
clim_sign_flip,medium,1,Channel sign inversion (wiring reversal),clim_sign_flip,5930,15903,medium,['rh_pct']
clim_sign_flip,medium,2,Channel sign inversion (wiring reversal),clim_sign_flip,5052,15025,medium,['rho_gm3']
clim_sign_flip,hard,1,Channel sign inversion (wiring reversal),clim_sign_flip,8305,24577,high,['wv_ms']
clim_sign_flip,hard,2,Channel sign inversion (wiring reversal),clim_sign_flip,5693,21965,high,['rho_gm3']
